time,ax,ay,az,atotal
5.808,-0.02,0.03,0.19,0.19
5.818,-0.02,0.03,-0.02,0.04
5.828,-0.03,0.02,-0.19,0.19
5.838,-0.03,0.02,-0.09,0.1
5.848,-0.02,0.02,0.15,0.15
5.859,-0.02,0.03,0.13,0.13
5.868,-0.01,0.05,-0.15,0.16
5.878,0.06,0.21,-1.74,1.75
5.888,-0.18,-0.09,0.92,0.94
5.898,0,-0.15,1.36,1.37
5.908,0.05,0.02,0.98,0.98
5.918,-0.05,0.09,-1.34,1.34
5.928,-0.05,0,-1.36,1.36
5.938,-0.01,-0.01,-0.19,0.19
5.948,-0.03,0.14,1.69,1.69
5.958,-0.02,0.02,1.05,1.05
5.968,0.03,-0.09,-0.59,0.6
5.978,-0.06,0.06,-1.31,1.32
5.988,-0.05,0.04,-0.27,0.27
5.998,-0.02,0.08,0.74,0.75
6.008,-0.04,0.05,0.84,0.84
6.018,-0.01,0.04,-0.19,0.2
6.028,-0.04,0.03,-0.84,0.84
6.038,0,-0.07,-0.46,0.46
6.048,-0.03,0.07,0.33,0.33
6.058,-0.02,0.05,0.58,0.58
6.067,-0.02,0.02,0.02,0.03
6.077,-0.04,0.01,-0.47,0.47
6.087,-0.02,0.01,-0.29,0.29
6.097,-0.02,0.03,0.21,0.22
6.107,-0.02,0.04,0.36,0.37
6.117,-0.02,0.03,0,0.04
6.127,-0.02,0,-0.31,0.31
6.137,-0.03,0.01,-0.19,0.19
6.147,-0.03,0.03,0.2,0.2
6.157,-0.02,0.04,0.22,0.23
6.167,-0.03,0.02,-0.06,0.07
6.177,-0.02,0.01,-0.23,0.23
6.187,-0.02,0.02,-0.06,0.07
6.197,-0.03,0.03,0.15,0.16
6.207,-0.02,0.03,0.13,0.14
6.217,-0.02,0.02,-0.1,0.11
6.227,-0.02,0.01,-0.17,0.17
6.237,-0.03,0.02,0.02,0.04
6.247,-0.03,0.04,0.15,0.16
6.257,-0.03,0.03,0.03,0.05
6.267,-0.02,0.03,-0.13,0.14
6.277,0.02,0.17,-0.42,0.46
6.286,0.2,0.94,-1.51,1.79
6.296,-0.17,1.96,1.85,2.7
6.306,-0.57,-2.31,1.08,2.62
6.316,0.59,-1.37,0.41,1.55
6.326,-0.22,0.9,-1.63,1.87
6.336,-0.04,-0.13,-1.19,1.19
6.346,-0.02,-0.01,0.44,0.44
6.356,-0.02,0.16,1.75,1.76
6.366,0,0.02,0.68,0.68
6.376,0,-0.06,-1.01,1.02
6.386,-0.04,-0.02,-1.2,1.2
6.396,-0.03,0.04,0.04,0.07
6.406,-0.03,0.09,0.93,0.94
6.416,-0.03,0.03,0.61,0.61
6.426,-0.02,0.02,-0.51,0.51
6.436,-0.03,0.01,-0.79,0.79
6.446,-0.02,-0.02,-0.12,0.12
6.456,-0.03,0.09,0.52,0.53
6.466,-0.02,0,0.4,0.4
6.476,-0.01,0.03,-0.27,0.28
6.486,-0.03,0.02,-0.48,0.49
6.496,-0.03,0.03,-0.05,0.07
6.506,-0.02,0.05,0.39,0.39
